path, name1, source1, url1, name2, source2, url2, name3, source3, url3,
"mod\answer\OGBGM\msys01.ogg.wav","Paris no Gogo (Afternoon in Paris) ","Higurashi no Naku Koro ni ","DEM-rr7zm9g",
"mod\answer\OGBGM\msys03.ogg.wav","Sutakorasassa (Helter Skelter) ","Higurashi no Naku Koro ni ","WY_-MK0XBGc",
"mod\answer\OGBGM\msys06.ogg.wav","Silence ","Higurashi no Naku Koro ni ","StjLCsfIbqQ",
"mod\answer\OGBGM\msys07.ogg.wav","Doukutsu (Cave) ","Higurashi no Naku Koro ni ","C5NjBlR3Y58",
"mod\answer\OGBGM\msys08.ogg.wav","Mazoku Kenkyuusho (Demonic Institute) ","Higurashi no Naku Koro ni ","d11-trxvJx4",
"mod\answer\OGBGM\msys09.ogg.wav","Seijaku (Quietness) ","Higurashi no Naku Koro ni ","9IReJdqR-Hc",
"mod\answer\OGBGM\msys15.ogg.wav","Silver Mirror ","Higurashi no Naku Koro ni ","qTxmYXt2nfE",
"mod\answer\OGBGM\msys17.ogg.wav","Gear (Radiata Alice Version) ","Higurashi no Naku Koro ni (07th_mod) ","5hmHA-XHI9o",
"mod\answer\OGBGM\msys23.ogg.wav","being -you&history Ver","","",
"mod\answer\OGBGM\msys27.ogg.wav","Tell a thing -piano solo ver.- (Radiata Alice Version) ","Higurashi no Naku Koro ni (07th_mod) ","XUNOms16TdY",
"mod\answer\OGBGM\msys30.ogg.wav","Meditation (GIN)","","",
"mod\answer\OGBGM\m_denwa8k.ogg.wav",
"mod\answer\OGBGM\primal-beat-of-horrow_T.ogg.wav","primal beat of horrow","","",
"mod\answer\OGBGM\rain.ogg.wav","BSFX Rain (GIN)","","",
"mod\answer\OGBGM\rika.ogg.wav","Baby's Walk (Rika) ","Higurashi no Naku Koro ni ","9kdlDI_Rb4A",
"mod\answer\OGBGM\semi.ogg.wav","BSFX Cicadas (GIN)","","",
"mod\answer\OGBGM\semi_r.ogg.wav","BSFX Cicadas with Phasor (GIN)","","",
"mod\answer\OGBGM\song_ps2ed1.ogg.wav","escape","","",
"mod\answer\OGBGM\song_you.ogg.wav","you -2014 재믹스再ミックス Thanks you Ver","","",
"mod\answer\OGBGM\suzu.ogg.wav","SFX Bells (GIN)","","",
"mod\answer\OGBGM\suzume.ogg.wav","BSFX Birds (GIN)","","",
"mod\answer\OGBGM\taip.ogg.wav","BSFX Satisfying Typing Sounds (GIN)","","",
"mod\answer\OGBGM\tsukisanbika.ogg.wav","月＜惨⇔賛＞歌","","",
"mod\answer\OGBGM\tsutaetaikoto.ogg.wav","Things I Want to Convey (Tsutaetai Koto⧸伝えたいこと) ","Higurashi no Naku Koro ni Kai ","otdpzAe9cQo",
"mod\answer\OGBGM\type.ogg.wav",
"mod\answer\OGBGM\yabaisemi.ogg.wav","BSFX High Pitched Phasor Cicadas (GIN)","","",
"mod\answer\OGBGM\yoru.ogg.wav","BSFX Quieter Cicadas with Rushing Water (GIN)","","",
"mod\answer\OGBGM\yorumushi.ogg.wav","BSFX Quieter Cicadas with Rushing Water (GIN)","","",
"mod\question\BGM\lsys11.ogg.wav","BSFX Cicadas (GIN)","","",
"mod\question\BGM\lsys12.ogg.wav","BSFX Insects 1 (GIN)","","",
"mod\question\BGM\lsys13.ogg.wav","BSFX Insects 2 (GIN)","","",
"mod\question\BGM\lsys14.ogg.wav","BSFX Monks Chanting (New)","","",
"mod\question\BGM\lsys15.ogg.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\question\BGM\lsys16.ogg.wav","BSFX Frogs (GIN)","","",
"mod\question\BGM\lsys17.ogg.wav","BSFX Telephone (GIN)","","",
"mod\question\BGM\lsys18.ogg.wav","BSFX Creepy Rattle (GIN)","","",
"mod\question\BGM\lsys19.ogg.wav","BSFX River (GIN)","","",
"mod\question\BGM\lsys20.ogg.wav","BSFX Car and Traffic (GIN)","","",
"mod\question\BGM\lsys21.ogg.wav","BSFX Train (GIN)","","",
"mod\question\BGM\lsys22.ogg.wav","BSFX Birds (GIN)","","",
"mod\question\BGM\lsys23.ogg.wav","BSFX Rain (GIN)","","",
"mod\question\BGM\lsys24.ogg.wav","BSFX Typing (GIN)","","",
"mod\question\BGM\lsys25.ogg.wav","BSFX Creepy Phasor (GIN)","","",
"mod\question\BGM\lsys26.ogg.wav","BSFX Water (GIN)","","",
"mod\question\BGM\lsys27.ogg.wav","BSFX Windy Rain (GIN)","","",
"mod\question\BGM\lsys28.ogg.wav","한탄의 숲 inst 嘆きノ森 インストver","","",
"mod\question\BGM\lsys29.ogg.wav","BSFX Car and Traffic (GIN)","","",
"mod\question\BGM\lsys30.ogg.wav","BSFX Drippy Rain (GIN)","","",
"mod\question\BGM\lsys31.ogg.wav","BSFX Mangled String Instrument (GIN)","","",
"mod\question\BGM\lsys32.ogg.wav","BSFX Alarm (New)","","",
"mod\question\BGM\msys01.ogg.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\question\BGM\msys02.ogg.wav","kneecap ","Higurashi Daybreak [Disc 2] ","q3PIL4qPVVU",
"mod\question\BGM\msys03.ogg.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\question\BGM\msys04.ogg.wav","spinning seesaw ","Higurashi Daybreak [Disc 2] ","4IuDgaMyKLA",
"mod\question\BGM\msys05.ogg.wav","what is wished","","",
"mod\question\BGM\msys06.ogg.wav","iru","","",
"mod\question\BGM\msys07.ogg.wav","Gallery of Madness (Kiyouki he no Kairou⧸狂気への回廊) ","Higurashi no Naku Koro ni Kai ","tQXW5L59Zpo",
"mod\question\BGM\msys08.ogg.wav","Insanity (Kyoki ⧸ 狂気) ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qsywLEgelUo",
"mod\question\BGM\msys09.ogg.wav","Near-sightedness to parallel －태동胎動－","","",
"mod\question\BGM\msys11.ogg.wav","BSFX Cicadas (GIN)","","",
"mod\question\BGM\msys12.ogg.wav","BSFX Insects 1 (GIN)","","",
"mod\question\BGM\msys13.ogg.wav","BSFX Insects 2 (GIN)","","",
"mod\question\BGM\msys14.ogg.wav","BSFX Monks Chanting (New)","","",
"mod\question\BGM\msys15.ogg.wav","msys15 REPLACEMENT Cello and Epic Drums (New)","","",
"mod\question\BGM\msys16.ogg.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\question\BGM\msys17.ogg.wav","Gear","","",
"mod\question\BGM\msys18.ogg.wav","Dawn ","Higurashi no Naku Koro ni ","D4Vd1350-a8",
"mod\question\BGM\msys19.ogg.wav","Theme of owner ","Higurashi no Naku Koro ni ","Og3m-0CsePA",
"mod\question\BGM\msys20.ogg.wav","Fascism ","Higurashi no Naku Koro ni ","GhKrTag5Rbc",
"mod\question\BGM\msys21.ogg.wav","Rainy Days ","Higurashi no Naku Koro ni ","m18qsZ8jDyg",
"mod\question\BGM\msys22.ogg.wav","Dancers #1 ","Higurashi no Naku Koro ni ","127rv27P6AI",
"mod\question\BGM\msys23.ogg.wav","Dancers #7","","",
"mod\question\BGM\msys24.ogg.wav","Snow #3 “First snow”","","",
"mod\question\BGM\msys25.ogg.wav","Snow #4 ＂Frozen to death＂ ","Higurashi no Naku Koro ni ","5G_DfhL8XP0",
"mod\question\BGM\msys26.ogg.wav","Sunrise ","Higurashi no Naku Koro ni ","DvBwbtRxE0A",
"mod\question\BGM\msys27.ogg.wav","Tell a thing","","",
"mod\question\BGM\msys28.ogg.wav","Lie lies-lies lie ","Higurashi no Naku Koro ni ","9D1MewtrV1M",
"mod\question\BGM\msys29.ogg.wav","Heigen wo Iku (Going to the Plains) ","Higurashi no Naku Koro ni ","3DpmpxF_VzQ",
"mod\question\BGM\msys30.ogg.wav","Meditation #1 ","Higurashi no Naku Koro ni ","bvHD_Plk4c4",
"mod\question\BGM\msys31.ogg.wav","Days of children #3 ","Higurashi no Naku Koro ni ","F8iQ9urzH-8",
"mod\question\BGM\msys32.ogg.wav","Dancers #5 ","Higurashi no Naku Koro ni ","nQe2zT8nicI",
"mod\question\BGM\msysmi.ogg.wav","msysmi REPLACEMENT Upbeat Rock Music (New)","","",
"mod\question\BGM\msysre.ogg.wav","Search and Destroy ","Higurashi no Naku Koro ni Kai ","Xvh5lbVQX0g",
"mod\question\BGM\msysri.ogg.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\question\BGM\msyssa.ogg.wav","Snow #4 ＂Frozen to death＂ ","Higurashi no Naku Koro ni ","5G_DfhL8XP0",
"mod\question\OGBGM\lsys11.ogg.wav","BSFX Cicadas (GIN)","","",
"mod\question\OGBGM\lsys12.ogg.wav","BSFX Insects 1 (GIN)","","",
"mod\question\OGBGM\lsys13.ogg.wav","BSFX Insects 2 (GIN)","","",
"mod\question\OGBGM\lsys14.ogg.wav","Tip Music (GIN)","","",
"mod\question\OGBGM\lsys15.ogg.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\question\OGBGM\lsys16.ogg.wav","BSFX Frogs (GIN)","","",
"mod\question\OGBGM\lsys17.ogg.wav","BSFX Telephone (GIN)","","",
"mod\question\OGBGM\lsys18.ogg.wav","BSFX Creepy Rattle (GIN)","","",
"mod\question\OGBGM\lsys19.ogg.wav","BSFX River (GIN)","","",
"mod\question\OGBGM\lsys20.ogg.wav","BSFX Car and Traffic (GIN)","","",
"mod\question\OGBGM\lsys21.ogg.wav","BSFX Train (GIN)","","",
"mod\question\OGBGM\lsys22.ogg.wav","BSFX Birds (GIN)","","",
"mod\question\OGBGM\lsys23.ogg.wav","BSFX Rain (GIN)","","",
"mod\question\OGBGM\lsys24.ogg.wav","BSFX Typing (GIN)","","",
"mod\question\OGBGM\lsys25.ogg.wav","BSFX Creepy Phasor (GIN)","","",
