path, name1, source1, url1,
"mod\answer\OGBGM\yabaisemi.wav","BSFX High Pitched Phasor Cicadas (GIN)","","",
"mod\answer\OGBGM\yoru.wav","BSFX Quieter Cicadas with Rushing Water (GIN)","","",
"mod\answer\OGBGM\yorumushi.wav","BSFX Quieter Cicadas with Rushing Water (GIN)","","",
"mod\question\BGM\lsys11.wav","BSFX Cicadas (GIN)","","",
"mod\question\BGM\lsys12.wav","BSFX Insects 1 (GIN)","","",
"mod\question\BGM\lsys13.wav","BSFX Insects 2 (GIN)","","",
"mod\question\BGM\lsys14.wav","BSFX Monks Chanting (New)","","",
"mod\question\BGM\lsys15.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\question\BGM\lsys16.wav","BSFX Frogs (GIN)","","",
"mod\question\BGM\lsys17.wav","BSFX Telephone (GIN)","","",
"mod\question\BGM\lsys18.wav","BSFX Creepy Rattle (GIN)","","",
"mod\question\BGM\lsys19.wav","BSFX River (GIN)","","",
"mod\question\BGM\lsys20.wav","BSFX Car and Traffic (GIN)","","",
"mod\question\BGM\lsys21.wav","BSFX Train (GIN)","","",
"mod\question\BGM\lsys22.wav","BSFX Birds (GIN)","","",
"mod\question\BGM\lsys23.wav","BSFX Rain (GIN)","","",
"mod\question\BGM\lsys24.wav","BSFX Typing (GIN)","","",
"mod\question\BGM\lsys25.wav","BSFX Creepy Phasor (GIN)","","",
"mod\question\BGM\lsys26.wav","BSFX Water (GIN)","","",
"mod\question\BGM\lsys27.wav","BSFX Windy Rain (GIN)","","",
"mod\question\BGM\lsys28.wav","한탄의 숲 inst 嘆きノ森 インストver","","",
"mod\question\BGM\lsys29.wav","BSFX Car and Traffic (GIN)","","",
"mod\question\BGM\lsys30.wav","BSFX Drippy Rain (GIN)","","",
"mod\question\BGM\lsys31.wav","BSFX Mangled String Instrument (GIN)","","",
"mod\question\BGM\lsys32.wav","BSFX Alarm (New)","","",
"mod\question\BGM\msys01.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\question\BGM\msys02.wav","kneecap ","Higurashi Daybreak [Disc 2] ","q3PIL4qPVVU",
"mod\question\BGM\msys03.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\question\BGM\msys04.wav","spinning seesaw ","Higurashi Daybreak [Disc 2] ","4IuDgaMyKLA",
"mod\question\BGM\msys05.wav","What is Wished ","Higurashi no Naku Koro ni Kai ","Iskv6DyiSXs",
"mod\question\BGM\msys06.wav","Iru ","Higurashi no Naku Koro ni Kai ","DUXfUyX7N4A",
"mod\question\BGM\msys07.wav","Gallery of Madness (Kiyouki he no Kairou⧸狂気への回廊) ","Higurashi no Naku Koro ni Kai ","tQXW5L59Zpo",
"mod\question\BGM\msys08.wav","Insanity (Kyoki ⧸ 狂気) ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qsywLEgelUo",
"mod\question\BGM\msys09.wav","Quickening (Taidou⧸胎動) ","Higurashi no Naku Koro ni Kai ","78M48YTHsbU",
"mod\question\BGM\msys11.wav","BSFX Cicadas (GIN)","","",
